,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
au12_activation_frequency__max,180000.0,0.4662069219267866,0.2909115029635558,0.0,0.0,0.0,0.4958711988969576,0.9066065825458136,1.05,1.13333333,0,0.0,0.06408888888888889,5826,
au12_activation_frequency__mean,180000.0,0.24749055730769332,0.2189014422401551,0.0,0.0,0.0,0.20360239099026786,0.8440617942527012,1.0341449764366522,1.1241400962173969,0,0.0,0.06609444444444444,140024,
au12_activation_frequency__min,180000.0,0.13489704544716516,0.24497900893520733,0.0,0.0,0.0,0.0,0.8,1.01666667,1.0945385399958774,0,0.0,0.5729833333333333,5208,
au12_activation_frequency__range,180000.0,0.33124378832651613,0.30776362258677825,0.0,0.0,0.0,0.3929126902868181,0.8871313038733812,0.8922802439200133,0.8922802439200133,0,0.0,0.17901111111111112,8741,
au12_activation_frequency__slope,180000.0,0.0003832374040149927,0.009691887662903674,-0.0472389955816352,-0.036643472877216345,-0.014114719315326754,0.0,0.0175569083748751,0.03633301879498882,0.0488521491576189,0,0.0,0.11245555555555556,154168,
au12_activation_frequency__std,180000.0,0.07682755390556034,0.069877851098514,0.0,0.0,0.0,0.0916569991651768,0.19630760353954035,0.20495181362278125,0.2196024345580037,0,0.0,0.11117777777777778,149879,
au12_mean_amplitude__max,180000.0,0.05033353570757683,0.0167706540443428,0.0156613343406876,0.0181705843190198,0.0218567417337215,0.05310559,0.07420422,0.08300221,0.08540358,0,0.0,0.0,17689,
au12_mean_amplitude__mean,180000.0,0.037774504367707434,0.01988419287578501,0.0076667055083051,0.00826852637325481,0.008752382958516809,0.0464852825119136,0.06376717679037762,0.07403635250530838,0.0789527179425053,0,0.0,0.0,176295,
au12_mean_amplitude__min,180000.0,0.028168415480168865,0.02144364312325933,0.0,0.0,0.0,0.0362058801185134,0.05500055,0.06852654,0.0751723,0,0.0,0.33037777777777777,15657,
au12_mean_amplitude__range,180000.0,0.022154668155442214,0.012352858157263936,0.0,0.0,0.004392565999999995,0.0216852599999999,0.0472154745946397,0.0472154745946397,0.0472154745946397,0,0.0,0.018033333333333332,55382,
au12_mean_amplitude__slope,180000.0,-3.4550206935776775e-05,0.0015123105158753674,-0.0105627499659397,-0.005334547548000029,-0.00232591572112006,-7.737356003817155e-07,0.0019989162266299343,0.005249667467345288,0.0098181334964284,0,0.0,0.0,174420,
au12_mean_amplitude__std,180000.0,0.005102106999519324,0.0027884897405194894,0.0003709065998869,0.0006183199924038171,0.0010855729023003101,0.00511855597210655,0.009878880097208633,0.010509259665083832,0.0195068418194709,0,0.0,0.0,176305,
au12_variance__max,180000.0,0.013036575009947688,0.023814599773779536,3.719e-05,7.25e-05,0.000275857402955305,0.0030145674763193,0.0718380809770935,0.0718380809770935,0.0718380809770935,0,0.0,0.0,42612,
au12_variance__mean,180000.0,0.0027624143214096957,0.00419372454075674,2.9585809507968032e-05,5.220719576186016e-05,0.00015447201012949502,0.0008765248271564499,0.01219268432241101,0.013360462434877545,0.0154389690202957,0,0.0,0.0,175331,
au12_variance__min,180000.0,0.00031478374136227854,0.000634018644139831,0.0,0.0,0.0,4.99848314548887e-06,0.00135584,0.0022844840960372166,0.0100354807857547,0,0.0,0.5,38709,
au12_variance__range,180000.0,0.012716745478170033,0.02395959372573323,0.0,0.0,0.0,0.0030107078280088,0.0718380809770935,0.0718380809770935,0.0718380809770935,0,0.0,0.06048888888888889,66083,
au12_variance__slope,180000.0,-2.0979798398852328e-06,0.00022670478811652052,-0.002296676440005,-0.0005812806866955759,-0.00019439706935738498,-2.3500796737972442e-07,0.0001734645399296,0.0004889448807059945,0.0027878373113707,0,0.0,0.0,174506,
au12_variance__std,180000.0,0.0033024476667061985,0.006240043290440095,8.445391749024374e-07,3.858838970856045e-06,1.3167894754854458e-05,0.00077931097380175,0.01755895880735764,0.01845128820397513,0.0195572857104095,0,0.0,0.0,175282,
au15_mean_amplitude__max,180000.0,0.027876582468415113,0.02123161706004622,0.0068095995610379,0.00839013,0.011805680980701115,0.0187413079990481,0.0777800737496354,0.0780777899865751,0.0780777899865751,0,0.0,0.0,15146,
au15_mean_amplitude__mean,180000.0,0.014913277425628872,0.004034112519894795,0.0061691036678697,0.006972574438416724,0.00948131431786399,0.0128915850235905,0.02172254545235021,0.02368960342602178,0.0251114767364446,0,0.0,0.0,176220,
au15_mean_amplitude__min,180000.0,0.008352947627312328,0.0049884603350615194,0.0,0.0,0.0,0.0081590963358364,0.016627489186827042,0.0188991099593719,0.02109895,0,0.0,0.16666666666666666,15046,
au15_mean_amplitude__range,180000.0,0.01951963687797761,0.02468217065043787,0.0,0.0007678175814105,0.00279285187957344,0.0100840434634028,0.0777800737496354,0.0780777899865751,0.0780777899865751,0,0.0,0.006338888888888889,56277,
au15_mean_amplitude__slope,180000.0,-3.737539677893536e-06,0.0006056187659964787,-0.0032458783269793,-0.002331209615172666,-0.0009352590371024448,-4.229122834023051e-07,0.00093592799556699,0.0020916641060311474,0.0032171083159685,0,0.0,0.0,174488,
au15_mean_amplitude__std,180000.0,0.004622237570769834,0.006263727898771409,0.0002333040156536,0.00038289029135241804,0.00068448078580793,0.0020580179408992,0.019583026989614193,0.0205064073230445,0.0218233079750818,0,0.0,0.0,176117,
au1_au2_peak_intensity__max,180000.0,0.05031767404732812,0.02152013870793845,0.01783217,0.01924192,0.0267681,0.0439356816885002,0.1105778770342943,0.1105778770342943,0.1105778770342943,0,0.0,0.0,17230,
