column,n_unique,dominant_value,dominant_ratio,is_constant,is_near_constant
au20_activation_rate__min,1,0.0,1.0,True,True
reaction_time_instability_index__min,1000,0.0,0.7833111111111111,False,False
extended_silence_ratio__min,773,0.0,0.6951055555555555,False,False
lip_compression_frequency__min,3286,0.0,0.6841055555555555,False,False
pause_duration_mean__min,863,0.0,0.6813,False,False
speech_onset_delay__min,490,0.0,0.6811166666666667,False,False
extended_silence_ratio__max,1127,1.0,0.6576611111111111,False,False
near_zero_au_activation_ratio__max,2858,1.0,0.5761833333333334,False,False
au12_activation_frequency__min,5208,0.0,0.5729833333333333,False,False
nod_onset_latency__min,2770,0.0,0.56415,False,False
facial_transition_frequency__min,1010,0.0,0.5399388888888889,False,False
response_latency_mean__min,852,0.0,0.5148166666666667,False,False
gaze_shift_frequency__max,2399,1.0,0.5065055555555555,False,False
extended_silence_ratio__range,1871,1.0,0.5057944444444444,False,False
downward_gaze_frequency__max,9004,1.0,0.5005444444444445,False,False
au12_variance__min,38709,0.0,0.5,False,False
au4_mean_activation__max,14789,1.0,0.5,False,False
au20_activation_rate__mean,86025,0.0,0.5,False,False
au20_activation_rate__std,86018,0.0,0.5,False,False
au20_activation_rate__max,580,0.0,0.5,False,False
au20_activation_rate__range,580,0.0,0.5,False,False
au20_activation_rate__slope,86317,0.0,0.5,False,False
overall_au_variance__min,37900,0.0,0.5,False,False
head_motion_energy__min,30944,0.0,0.5,False,False
landmark_displacement_mean__min,13178,0.0,0.5,False,False
micro_motion_energy__min,12997,0.0,0.5,False,False
pause_duration_mean__max,1393,1.0,0.5,False,False
pause_duration_mean__range,2331,1.0,0.5,False,False
blink_cluster_density__min,2763,0.0,0.49425,False,False
head_velocity_peak__min,5379,0.0,0.4842888888888889,False,False
motion_energy_floor_score__max,11663,1.0,0.47096666666666664,False,False
gesture_frequency__max,818,1.0,0.45985,False,False
gaze_shift_frequency__range,4990,0.0,0.3744277777777778,False,False
gaze_shift_frequency__min,2666,1.0,0.37091111111111114,False,False
reaction_time_instability_index__range,2541,0.0,0.36972222222222223,False,False
extended_silence_ratio__slope,109992,0.0,0.3647222222222222,False,False
extended_silence_ratio__std,107527,0.0,0.36193888888888887,False,False
response_latency_mean__range,2744,0.0,0.3498611111111111,False,False
gaze_shift_frequency__mean,99192,1.0,0.3496222222222222,False,False
gaze_shift_frequency__slope,114027,0.0,0.3496111111111111,False,False
gaze_shift_frequency__std,100275,0.0,0.3491888888888889,False,False
speech_onset_delay__range,2282,0.0,0.3372777777777778,False,False
overall_au_variance__max,38969,1.0,0.3333333333333333,False,False
overall_au_variance__range,60329,1.0,0.3333333333333333,False,False
blink_rate__max,3649,1.0,0.3333333333333333,False,False
reaction_time_instability_index__max,1524,1.0,0.3333333333333333,False,False
au12_mean_amplitude__min,15657,0.0,0.33037777777777777,False,False
mean_head_velocity__min,33052,0.0,0.3172888888888889,False,False
reaction_time_instability_index__slope,118026,0.0,0.3168944444444444,False,False
nod_onset_latency__range,6064,0.0,0.3159888888888889,False,False
gesture_frequency__min,1244,0.9,0.3158722222222222,False,False
reaction_time_instability_index__std,96343,0.0,0.31582777777777776,False,False
gesture_frequency__range,2803,0.0999999999999999,0.3079388888888889,False,False
au4_duration_ratio__max,45608,1.0,0.2960888888888889,False,False
reaction_time_instability_index__mean,88610,0.0,0.28054444444444443,False,False
lip_compression_frequency__range,5606,0.0,0.28010555555555555,False,False
speech_onset_delay__slope,127938,0.0,0.2584444444444444,False,False
response_latency_mean__slope,128151,0.0,0.25742777777777776,False,False
pause_duration_mean__slope,128193,0.0,0.25719444444444445,False,False
speech_onset_delay__std,113007,0.0,0.25687777777777776,False,False
response_latency_mean__std,112868,0.0,0.2559722222222222,False,False
pause_duration_mean__std,85000,0.0,0.25595555555555555,False,False
lip_compression_frequency__slope,134202,0.0,0.22712222222222223,False,False
lip_compression_frequency__std,130403,0.0,0.22687222222222223,False,False
downward_gaze_frequency__min,9288,0.0,0.2239722222222222,False,False
downward_gaze_frequency__range,15448,1.0,0.2239722222222222,False,False
nod_onset_latency__slope,138740,0.0,0.1988611111111111,False,False
nod_onset_latency__std,120456,0.0,0.1971,False,False
extended_silence_ratio__mean,104327,0.0,0.1869222222222222,False,False
lip_compression_frequency__mean,123214,0.0,0.18622222222222223,False,False
lip_compression_frequency__max,3542,0.0,0.1833611111111111,False,False
response_latency_mean__mean,105780,0.0,0.17928333333333332,False,False
pause_duration_mean__mean,68868,0.0,0.17921666666666666,False,False
au12_activation_frequency__range,8741,0.0,0.17901111111111112,False,False
speech_onset_delay__mean,105989,0.0,0.1787277777777778,False,False
au1_au2_peak_intensity__min,17165,0.0,0.17407777777777778,False,False
response_latency_mean__max,1806,0.0,0.17048888888888888,False,False
au4_mean_activation__range,59278,0.0,0.16933333333333334,False,False
speech_onset_delay__max,1504,0.0,0.16807777777777777,False,False
au15_mean_amplitude__min,15046,0.0,0.16666666666666666,False,False
au4_mean_activation__mean,147005,1.0,0.16666666666666666,False,False
au4_mean_activation__std,146985,0.0,0.16666666666666666,False,False
au4_mean_activation__min,15322,1.0,0.16666666666666666,False,False
au4_mean_activation__slope,145683,0.0,0.16666666666666666,False,False
facial_emotional_range__min,13210,0.0,0.16666666666666666,False,False
blink_duration__range,18432,0.0,0.1661,False,False
blink_rate__range,6753,0.0,0.16226666666666667,False,False
blink_rate__slope,147540,0.0,0.15132222222222222,False,False
blink_rate__std,120982,0.0,0.15097222222222223,False,False
eye_contact_ratio__min,37492,0.0,0.14784444444444444,False,False
blink_cluster_density__range,5435,0.0,0.13837222222222223,False,False
head_velocity_peak__range,15972,0.0,0.12575555555555556,False,False
blink_rate__min,3730,0.0,0.11845,False,False
au12_activation_frequency__slope,154168,0.0,0.11245555555555556,False,False
au12_activation_frequency__std,149879,0.0,0.11117777777777778,False,False
near_zero_au_activation_ratio__range,7047,0.0,0.10999444444444445,False,False
nod_onset_latency__mean,113683,0.0,0.10829444444444444,False,False
nod_onset_latency__max,2350,0.0,0.10146666666666666,False,False
facial_transition_frequency__range,2668,0.1,0.09082222222222222,False,False
blink_rate__mean,120777,1.0,0.08733888888888888,False,False
facial_emotional_range__range,35274,0.0,0.08631666666666667,False,False
au4_duration_ratio__range,67034,0.0,0.08453333333333334,False,False
facial_transition_frequency__max,1550,0.3,0.08127222222222222,False,False
head_motion_energy__range,59726,0.0,0.07228333333333334,False,False
posture_rigidity_index__range,60733,0.0,0.07102777777777777,False,False
head_velocity_peak__std,154962,0.0,0.06641111111111112,False,False
au12_activation_frequency__mean,140024,0.0,0.06609444444444444,False,False
au12_activation_frequency__max,5826,0.538944764539123,0.06577777777777778,False,False
eye_contact_ratio__max,36761,0.2913684613402539,0.06562222222222222,False,False
