column,n_unique,dominant_value,dominant_ratio,is_constant,is_near_constant
head_velocity_peak__slope,162657,0.0,0.06538333333333333,False,False
blink_duration__max,7797,0.4022458440750762,0.06501666666666667,False,False
micro_motion_energy__max,13212,84.86185662317429,0.06500555555555555,False,False
micro_motion_energy__range,56552,84.86185662317429,0.06500555555555555,False,False
posture_rigidity_index__max,30142,1.773701676287434,0.06480555555555556,False,False
head_velocity_peak__max,4001,14.115072298326378,0.06445,False,False
facial_emotional_range__max,11634,0.0042334287241776,0.06435555555555555,False,False
head_motion_energy__max,33513,21.929646701704577,0.06417777777777778,False,False
baseline_eye_openness__max,16963,0.4596730040707426,0.0637888888888889,False,False
mean_head_velocity__max,34709,0.0955785830214108,0.06356666666666666,False,False
mean_head_velocity__range,66167,0.0955785830214108,0.06356666666666666,False,False
au12_variance__max,42612,0.0045800294604751,0.06336666666666667,False,False
au12_variance__range,66083,0.0045800294604751,0.06336666666666667,False,False
motion_energy_floor_score__min,13028,0.2204369511644692,0.06322777777777777,False,False
blink_duration__min,7352,0.1946564736781824,0.06274444444444445,False,False
landmark_displacement_mean__max,12863,0.034858995332441,0.06232777777777778,False,False
landmark_displacement_mean__range,56280,0.034858995332441,0.06232777777777778,False,False
near_zero_au_activation_ratio__min,4477,0.8459150234766383,0.06231111111111111,False,False
au4_duration_ratio__min,42969,0.9216345261216222,0.062016666666666664,False,False
au12_mean_amplitude__max,17689,0.0472154745946397,0.06197222222222222,False,False
au12_mean_amplitude__range,55382,0.0472154745946397,0.06163888888888889,False,False
blink_cluster_density__max,3408,0.2959409660607569,0.061455555555555555,False,False
eye_contact_ratio__range,69796,0.2913684613402539,0.05971666666666667,False,False
au1_au2_peak_intensity__max,17230,0.1105778770342943,0.05896666666666667,False,False
posture_rigidity_index__min,29332,1.0531359552449044,0.058777777777777776,False,False
au1_au2_peak_intensity__range,56027,0.1105778770342943,0.05870555555555555,False,False
baseline_eye_openness__min,15207,0.2039990558151673,0.058022222222222225,False,False
au15_mean_amplitude__max,15146,0.0191636266711746,0.05701111111111111,False,False
blink_duration__slope,164701,0.0,0.054266666666666664,False,False
blink_duration__std,158189,0.0,0.05216666666666667,False,False
motion_energy_floor_score__range,22893,0.8251830952929193,0.05215555555555555,False,False
blink_cluster_density__slope,165689,0.0,0.048716666666666665,False,False
blink_cluster_density__std,158217,0.0,0.047844444444444446,False,False
au15_mean_amplitude__range,56277,0.0780777899865751,0.03913888888888889,False,False
baseline_eye_openness__range,60728,0.3902303524786844,0.032516666666666666,False,False
facial_transition_frequency__slope,168568,0.0,0.03242222222222222,False,False
facial_transition_frequency__std,166369,0.0,0.03233888888888889,False,False
near_zero_au_activation_ratio__slope,168734,0.0,0.031794444444444445,False,False
near_zero_au_activation_ratio__std,168209,0.0,0.031627777777777775,False,False
facial_transition_frequency__mean,161484,0.0,0.028055555555555556,False,False
near_zero_au_activation_ratio__mean,165537,1.0,0.025966666666666666,False,False
facial_emotional_range__slope,169884,0.0,0.02535,False,False
downward_gaze_frequency__slope,169957,0.0,0.025066666666666668,False,False
downward_gaze_frequency__std,163162,0.0,0.025,False,False
facial_emotional_range__std,169440,0.0,0.024916666666666667,False,False
blink_cluster_density__mean,147821,0.06666667,0.022627777777777778,False,False
downward_gaze_frequency__mean,159615,0.03333333,0.014083333333333333,False,False
facial_emotional_range__mean,164830,0.01412594,0.0072722222222222225,False,False
blink_duration__mean,151525,0.2870725,0.007227777777777777,False,False
head_velocity_peak__mean,142108,2.33956928,0.0071111111111111115,False,False
gesture_frequency__mean,155807,0.98,0.003488888888888889,False,False
motion_energy_floor_score__std,175160,0.0,0.003338888888888889,False,False
motion_energy_floor_score__slope,173788,0.0,0.003338888888888889,False,False
au12_mean_amplitude__slope,174420,0.0053456859743723,0.0016666666666666668,False,False
au12_variance__slope,174506,0.0002900183324986,0.0016666666666666668,False,False
au15_mean_amplitude__slope,174488,0.0023490113157942,0.0016666666666666668,False,False
au4_duration_ratio__slope,174406,0.0037179479712938,0.0016666666666666668,False,False
au1_au2_peak_intensity__slope,174400,0.0038764284348313,0.0016666666666666668,False,False
overall_au_variance__slope,174450,-0.0023155657460286,0.0016666666666666668,False,False
mean_head_velocity__slope,174389,-0.0186768333411451,0.0016666666666666668,False,False
head_motion_energy__slope,174329,-2.347404122919963,0.0016666666666666668,False,False
landmark_displacement_mean__slope,174523,-0.0080592801219537,0.0016666666666666668,False,False
gesture_frequency__slope,174273,0.0482358897488156,0.0016666666666666668,False,False
posture_rigidity_index__slope,174421,-0.0372471189844685,0.0016666666666666668,False,False
micro_motion_energy__slope,174469,-27.80180885774403,0.0016666666666666668,False,False
eye_contact_ratio__slope,174431,0.0309886919625694,0.0016666666666666668,False,False
baseline_eye_openness__slope,174428,-0.0939349847824057,0.0016666666666666668,False,False
motion_energy_floor_score__mean,174161,0.98333333,0.0013944444444444445,False,False
au15_mean_amplitude__mean,176220,0.0133724894056147,0.0008888888888888889,False,False
au12_mean_amplitude__mean,176295,0.0579986739380608,0.0008333333333333334,False,False
au12_mean_amplitude__std,176305,0.0005325893881915,0.0008333333333333334,False,False
au12_variance__mean,175331,0.0021758957844578,0.0008333333333333334,False,False
au12_variance__std,175282,4.814291882262168e-06,0.0008333333333333334,False,False
au15_mean_amplitude__std,176117,0.0036086558312718,0.0008333333333333334,False,False
au4_duration_ratio__mean,176155,0.9819914401874584,0.0008333333333333334,False,False
au4_duration_ratio__std,176228,0.010916804335234,0.0008333333333333334,False,False
au1_au2_peak_intensity__mean,176244,0.0277865625346567,0.0008333333333333334,False,False
au1_au2_peak_intensity__std,176163,0.0056091417596722,0.0008333333333333334,False,False
overall_au_variance__mean,175656,0.1782575121100637,0.0008333333333333334,False,False
overall_au_variance__std,175668,0.3681290238811906,0.0008333333333333334,False,False
mean_head_velocity__mean,176087,0.2789291159515886,0.0008333333333333334,False,False
mean_head_velocity__std,176155,0.0006929359719415,0.0008333333333333334,False,False
head_motion_energy__mean,176199,0.0814455319276025,0.0008333333333333334,False,False
head_motion_energy__std,176184,0.0013687446497709,0.0008333333333333334,False,False
landmark_displacement_mean__mean,175922,0.0129913920565715,0.0008333333333333334,False,False
landmark_displacement_mean__std,175840,0.0214036902922373,0.0008333333333333334,False,False
gesture_frequency__std,171223,0.0180793157898093,0.0008333333333333334,False,False
posture_rigidity_index__mean,176236,0.7819365287166424,0.0008333333333333334,False,False
posture_rigidity_index__std,176236,2.4221204207000096e-05,0.0008333333333333334,False,False
micro_motion_energy__mean,175502,26.141093696052003,0.0008333333333333334,False,False
micro_motion_energy__std,175544,80.42713476299213,0.0008333333333333334,False,False
eye_contact_ratio__mean,176236,0.653298189067917,0.0008333333333333334,False,False
eye_contact_ratio__std,176228,0.0010403872544069,0.0008333333333333334,False,False
baseline_eye_openness__mean,176280,0.4785159930834043,0.0008333333333333334,False,False
baseline_eye_openness__std,176221,0.0096966853785856,0.0008333333333333334,False,False
patient_id,180000,1.0,5.555555555555556e-06,False,False
