column,below_min_count,above_max_count,observed_min,observed_max
au12_activation_frequency__max,0,6043,0.0,1.13333333
au12_activation_frequency__mean,0,5059,0.0,1.1241400962173969
au12_activation_frequency__min,0,3093,0.0,1.0945385399958774
au12_activation_frequency__slope,78531,0,-0.0472389955816352,0.0488521491576189
au12_mean_amplitude__slope,93684,0,-0.0105627499659397,0.0098181334964284
au12_variance__slope,95057,0,-0.002296676440005,0.0027878373113707
au15_mean_amplitude__slope,93191,0,-0.0032458783269793,0.0032171083159685
au1_au2_peak_intensity__slope,90511,0,-0.0051399137837142,0.005095225364731
au20_activation_rate__slope,45797,0,-6.891612310655468e-06,6.602908368356685e-06
au4_duration_ratio__slope,96327,0,-0.0044391992204897,0.0037179479712938
au4_mean_activation__min,167,0,-1.43456948,1.0
au4_mean_activation__range,0,167,0.0,2.378524449191877
au4_mean_activation__slope,74083,0,-0.0296202854266113,0.026699565800644
baseline_eye_openness__slope,84272,0,-0.1043821538364131,0.1449837124598158
blink_cluster_density__slope,83052,0,-0.0195637205229443,0.0238435310866572
blink_duration__slope,98003,0,-0.0180535360228895,0.0530226149193897
blink_rate__max,0,90000,0.6517216807855125,38.0
blink_rate__mean,0,90000,0.577900455699294,37.56022541004391
blink_rate__min,0,89356,0.0,36.0
blink_rate__range,0,58895,0.0,9.0
blink_rate__slope,75017,3274,-1.2235485778817683,1.4409760503798363
blink_rate__std,0,19330,0.0,2.4352754133124512
downward_gaze_frequency__max,0,52565,0.03333333,2.6
downward_gaze_frequency__mean,0,51443,0.0202793377909463,2.541282384365731
downward_gaze_frequency__min,0,49357,0.0,2.5
downward_gaze_frequency__slope,78154,0,-0.0568079430686864,0.0649782939999666
extended_silence_ratio__slope,51280,0,-0.0133910336222147,0.032698151961212
eye_contact_ratio__slope,93873,0,-0.0327523560586064,0.0309886919625694
facial_emotional_range__slope,87320,0,-0.005265001564227,0.0048272966982853
facial_transition_frequency__slope,91645,0,-0.0837084630948833,0.0799121885513107
gaze_shift_frequency__max,0,84622,0.3,3.1
gaze_shift_frequency__mean,0,78692,0.1772451196825321,3.0005510237517057
gaze_shift_frequency__min,0,67790,0.0814075215854997,2.9000249892743
gaze_shift_frequency__range,0,996,0.0,1.2999999999999998
gaze_shift_frequency__slope,55708,0,-0.2030781249501838,0.275426059675646
gesture_frequency__max,0,30000,0.1653596238503626,1.6951738617542504
gesture_frequency__mean,0,30000,0.1415431565006613,1.554707422435573
gesture_frequency__min,0,30000,0.0976541095861904,1.3448304886379605
gesture_frequency__slope,87712,0,-0.0597114842483959,0.0992552362341162
head_motion_energy__max,0,166245,0.0174541701134178,69.46142745443254
head_motion_energy__mean,0,128382,0.0143847979943001,19.441016183840446
head_motion_energy__min,0,44271,0.0,15.534805150132565
head_motion_energy__range,0,146604,0.0,69.46142745443254
head_motion_energy__slope,88825,7466,-3.502853085703903,3.689125790488424
head_motion_energy__std,0,98031,0.0002853640636181,17.723905638390022
head_velocity_peak__max,0,162974,0.16267273,14.115072298326378
head_velocity_peak__mean,0,155060,0.1374518622678557,10.50486812486399
head_velocity_peak__min,0,43072,0.0,10.48889604
head_velocity_peak__range,0,133106,0.0,14.115072298326378
head_velocity_peak__slope,82813,3428,-3.485149539085855,3.5776584843029102
head_velocity_peak__std,0,106724,0.0,4.898671860165251
landmark_displacement_mean__slope,83581,0,-0.0080592801219537,0.0082085380060972
lip_compression_frequency__max,0,4167,0.0,1.33333333
lip_compression_frequency__mean,0,3790,0.0,1.3140144644527048
lip_compression_frequency__min,0,2403,0.0,1.2656870781188991
lip_compression_frequency__slope,69386,0,-0.0528722500702457,0.0562978530022765
mean_head_velocity__slope,89865,0,-0.0186768333411451,0.0165254529999166
micro_motion_energy__max,0,143658,0.0072621671790049,645.603596
micro_motion_energy__mean,0,126665,0.0025712107118906,45.17783839280956
micro_motion_energy__range,0,143551,0.0025077333013743,645.601617389908
micro_motion_energy__slope,89624,14708,-29.91909484629348,30.26440553592722
micro_motion_energy__std,0,129251,0.0016824009254194,146.12329355733684
motion_energy_floor_score__slope,84720,0,-0.0560485037794972,0.063360319313727
near_zero_au_activation_ratio__slope,84104,0,-0.0101071631822119,0.0162974325822891
nod_onset_latency__max,0,161127,0.0,6.127587995925917
nod_onset_latency__mean,0,159150,0.0,2.662356110000001
nod_onset_latency__min,0,68345,0.0,2.66235611
nod_onset_latency__range,0,92318,0.0,6.127587995925917
nod_onset_latency__slope,68731,0,-0.0539219367430895,0.3062299277199706
nod_onset_latency__std,0,61615,0.0,1.2907457172994188
overall_au_variance__max,0,175,0.0012910077183015,5.523554572564033
overall_au_variance__range,0,167,0.0,4.693778706851582
overall_au_variance__slope,87319,0,-0.0047043124791876,0.0047310015567169
patient_id,0,179999,1.0,180000.0
pause_duration_mean__max,0,58034,0.0,172.39587867
pause_duration_mean__mean,0,55625,0.0,163.03433683653424
pause_duration_mean__min,0,54815,0.0,151.57478452
pause_duration_mean__range,0,4090,0.0,151.56938028
pause_duration_mean__slope,55395,427,-0.1442125737300464,4.416020188267246
pause_duration_mean__std,0,841,0.0,59.16553377844716
posture_rigidity_index__max,0,90000,0.7330067843359581,1.7829259051179909
posture_rigidity_index__mean,0,60000,0.7200642235388766,1.4247323308949345
posture_rigidity_index__min,0,60000,0.60929365,1.253819243198785
posture_rigidity_index__slope,92471,0,-0.0874775211759448,0.0836894316972461
reaction_time_instability_index__max,0,38715,0.0,80.03423068
reaction_time_instability_index__mean,0,37750,0.0,80.03423068000002
reaction_time_instability_index__min,0,36816,0.0,80.03423068
reaction_time_instability_index__range,0,5083,0.0,80.03423068
reaction_time_instability_index__slope,58594,388,-0.1014090289077401,4.461872676422923
reaction_time_instability_index__std,0,372,0.0,16.378200186582852
response_latency_mean__max,0,148015,0.0,782.1224318109059
response_latency_mean__mean,0,145607,0.0,205.88027555776105
response_latency_mean__min,0,54779,0.0,151.57478452
response_latency_mean__range,0,94140,0.0,781.1224318109059
response_latency_mean__slope,65709,1511,-1.4763754514678422,4.4208590185985575
response_latency_mean__std,0,90839,0.0,192.5038646577883
speech_onset_delay__max,0,142271,0.0,283.16561130008046
speech_onset_delay__mean,0,132761,0.0,173.5388208338795
speech_onset_delay__min,0,34114,0.0,151.57478452
speech_onset_delay__range,0,112212,0.0,283.16561130008046
speech_onset_delay__slope,68080,3278,-4.536866379299057,8.620463035516934
speech_onset_delay__std,0,103354,0.0,73.3148566628655
