,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
au12_activation_frequency,3709.0,0.04111620382852521,0.13737775669898425,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0,0.0,0.9177675923429496,2,
au12_mean_amplitude,3709.0,0.6736767838662711,0.19638021851380555,0.02668186,0.0782850312,0.36546026600000003,0.65796264,0.988046074,0.9945138364,0.99992862,0,0.0,0.0,3709,
au12_variance,3709.0,0.8448468538123484,0.2045274760182967,0.20673458,0.2891997112,0.373748778,0.96212065,0.99996284,0.99999989,0.99999995,0,0.0,0.0,3633,
au15_mean_amplitude,3709.0,0.5875386079050957,0.21246354101304799,0.10519999,0.2625398712,0.352460984,0.51409514,0.9709306799999999,0.9878396551999999,0.99487916,0,0.0,0.0,3709,
au1_au2_peak_intensity,3709.0,0.6128562756241575,0.24626757410386452,0.02883174,0.1207050316,0.25368970599999996,0.54921129,0.9732809,0.991812478,0.99954635,0,0.0,0.0,2701,
au20_activation_rate,3709.0,0.9920413622404962,0.01582189662459709,0.85028798,0.8973093168,0.9792877099999999,0.99559233,0.99559233,0.99559233,0.99559233,0,0.0,0.0,395,
au4_duration_ratio,3709.0,0.5713130223779994,0.17486911855691517,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0,0.0,0.0,2,
au4_mean_activation,3709.0,0.38936996064437857,0.1115006296548917,0.01495477,0.081277488,0.23092533399999998,0.3747037,0.590042956,0.7392882056000005,0.9952012,0,0.0,0.0,3709,
baseline_eye_openness,3709.0,0.48416189189808573,0.20952429504684444,0.0326588,0.0722024616,0.142056484,0.497174,0.80458679,0.8860776000000002,0.94590162,0,0.0,0.0,3709,
blink_cluster_density,3709.0,0.5613372876786196,0.16405376339813135,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0,0.0,0.0,2,
blink_duration,3709.0,0.6596682854623889,0.03975144826869793,0.60824803,0.60824803,0.60824803,0.64952736,0.76042934,0.77229365,0.77229365,0,0.0,0.0,86,
blink_rate,3709.0,0.779571464567269,0.27147571028070866,0.22476088,0.22476088,0.22476088,0.95669995,0.99206672,0.99484219,0.99484219,0,0.0,0.0,31,
downward_gaze_frequency,3709.0,0.6439741170126719,0.22643395482893583,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0,0.0,0.0,2,
extended_silence_ratio,3709.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0,1,
eye_contact_ratio,3709.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0,1,
