column,outlier_count,outlier_ratio,median,mad
blink_rate,1257,0.33890536532758153,0.95669995,0.028212810000000088
au12_variance,1116,0.30088972768940414,0.96212065,0.03751111000000007
overall_au_variance,1116,0.30088972768940414,0.96212065,0.03751111000000007
gaze_shift_frequency,959,0.25856025882987327,0.99995405,4.59499999999613e-05
posture_rigidity_index,868,0.23402534375842546,0.92388854,0.011519970000000046
head_motion_energy,794,0.21407387435966568,0.18436194,0.004584869999999991
mean_head_velocity,746,0.2011323806956053,0.13022149,0.03337561
head_velocity_peak,725,0.19547047721757888,0.13207598,0.04166673000000001
facial_transition_frequency,415,0.11188999730385549,0.99592104,0.002642279999999997
landmark_displacement_mean,338,0.09112968455109194,0.43993761,0.019786109999999968
micro_motion_energy,315,0.08492855217039633,0.4647196,0.0012348899999999885
blink_duration,199,0.05365327581558371,0.64952736,0.02035739999999997
au4_mean_activation,196,0.05284443246157994,0.3747037,0.04595549999999998
motion_energy_floor_score,187,0.050417902399568615,0.92805371,0.011056840000000068
au12_mean_amplitude,42,0.011323806956052845,0.65796264,0.11110140000000002
lip_compression_frequency,0,0.0,0.5,0.0
au1_au2_peak_intensity,0,0.0,0.54921129,0.19054033000000004
au20_activation_rate,0,0.0,0.99559233,0.0
facial_emotional_range,0,0.0,0.71656804,0.17483027000000007
near_zero_au_activation_ratio,0,0.0,0.5,0.0
au15_mean_amplitude,0,0.0,0.51409514,0.13131720000000002
au12_activation_frequency,0,0.0,0.0,0.0
au4_duration_ratio,0,0.0,0.5,0.0
gesture_frequency,0,0.0,0.99512412,0.0
eye_contact_ratio,0,0.0,0.5,0.0
blink_cluster_density,0,0.0,0.5,0.0
downward_gaze_frequency,0,0.0,0.5,0.0
baseline_eye_openness,0,0.0,0.497174,0.17188488999999996
response_latency_mean,0,0.0,0.5,0.0
speech_onset_delay,0,0.0,0.5,0.0
nod_onset_latency,0,0.0,1.0,0.0
pause_duration_mean,0,0.0,0.5,0.0
extended_silence_ratio,0,0.0,0.5,0.0
reaction_time_instability_index,0,0.0,0.5,0.0
