column,missing_count,missing_ratio,dtype
au12_activation_frequency,0,0.0,float64
au12_mean_amplitude,0,0.0,float64
au12_variance,0,0.0,float64
au15_mean_amplitude,0,0.0,float64
au1_au2_peak_intensity,0,0.0,float64
au20_activation_rate,0,0.0,float64
au4_duration_ratio,0,0.0,float64
au4_mean_activation,0,0.0,float64
baseline_eye_openness,0,0.0,float64
blink_cluster_density,0,0.0,float64
blink_duration,0,0.0,float64
blink_rate,0,0.0,float64
downward_gaze_frequency,0,0.0,float64
extended_silence_ratio,0,0.0,float64
eye_contact_ratio,0,0.0,float64
facial_emotional_range,0,0.0,float64
facial_transition_frequency,0,0.0,float64
gaze_shift_frequency,0,0.0,float64
gesture_frequency,0,0.0,float64
head_motion_energy,0,0.0,float64
head_velocity_peak,0,0.0,float64
landmark_displacement_mean,0,0.0,float64
lip_compression_frequency,0,0.0,float64
mean_head_velocity,0,0.0,float64
micro_motion_energy,0,0.0,float64
motion_energy_floor_score,0,0.0,float64
near_zero_au_activation_ratio,0,0.0,float64
nod_onset_latency,0,0.0,float64
overall_au_variance,0,0.0,float64
pause_duration_mean,0,0.0,float64
posture_rigidity_index,0,0.0,float64
reaction_time_instability_index,0,0.0,float64
response_latency_mean,0,0.0,float64
source_file,0,0.0,object
speech_onset_delay,0,0.0,float64
timestamp,0,0.0,float64
