group_feature,lower,upper,rows_clipped,low_q,high_q
bipolar:eye_contact_ratio__min,0.81551112,0.8978332008379115,249,0.005,0.995
bipolar:eye_contact_ratio__max,0.83422441,0.92021607,120,0.005,0.995
bipolar:eye_contact_ratio__range,0.0,0.06454675757567103,150,0.005,0.995
bipolar:eye_contact_ratio__slope,-0.013050739752355737,0.014074034772290519,600,0.01,0.99
bipolar:downward_gaze_frequency__mean,0.020279337790946338,0.28333333,202,0.005,0.995
bipolar:downward_gaze_frequency__std,0.0,0.056773920918494834,150,0.005,0.995
bipolar:downward_gaze_frequency__min,0.00666667,0.28333333,141,0.005,0.995
bipolar:downward_gaze_frequency__max,0.03333333,0.28333333,86,0.005,0.995
bipolar:downward_gaze_frequency__range,0.0,0.15,101,0.005,0.995
bipolar:downward_gaze_frequency__slope,-0.027823079772685864,0.02680250963722861,600,0.01,0.99
bipolar:gaze_shift_frequency__mean,0.17724511968253215,1.6265616442373692,300,0.005,0.995
bipolar:gaze_shift_frequency__std,0.022960651774313705,0.41864722624518586,300,0.005,0.995
bipolar:gaze_shift_frequency__min,0.08140752158549973,1.5,245,0.005,0.995
bipolar:gaze_shift_frequency__max,0.3,1.76,55,0.005,0.995
bipolar:gaze_shift_frequency__range,0.0,1.0,86,0.005,0.995
bipolar:gaze_shift_frequency__slope,-0.12976666920845878,0.1753501836822083,600,0.01,0.99
bipolar:baseline_eye_openness__mean,0.27683428620369127,0.6541622892444446,300,0.005,0.995
bipolar:baseline_eye_openness__std,0.01704317134623142,0.193822615996938,300,0.005,0.995
bipolar:baseline_eye_openness__min,0.13773175,0.4685377,147,0.005,0.995
bipolar:baseline_eye_openness__max,0.32905885,0.7150654,9,0.005,0.995
bipolar:baseline_eye_openness__range,0.06518689004999989,0.54419551,295,0.005,0.995
bipolar:baseline_eye_openness__slope,-0.09656006184608715,0.14498371245981587,600,0.01,0.99
bipolar:response_latency_mean__mean,0.5899432657914472,3.86301853203925,300,0.005,0.995
bipolar:response_latency_mean__std,0.0,0.35658353694265094,150,0.005,0.995
bipolar:response_latency_mean__min,0.12625145307862648,3.83080683,150,0.005,0.995
bipolar:response_latency_mean__max,0.73256654,4.12752796,0,0.005,0.995
bipolar:response_latency_mean__range,0.0,1.2788934799999998,132,0.005,0.995
bipolar:response_latency_mean__slope,-0.14372876270212734,0.28332832509203715,600,0.01,0.99
bipolar:speech_onset_delay__mean,0.06691957,14.289029830066573,161,0.005,0.995
bipolar:speech_onset_delay__std,0.0,8.17958627974395,150,0.005,0.995
bipolar:speech_onset_delay__min,0.06691957,12.97762012,196,0.005,0.995
bipolar:speech_onset_delay__max,0.11005878,20.78420186,74,0.005,0.995
bipolar:speech_onset_delay__range,0.0,20.63582754,114,0.005,0.995
bipolar:speech_onset_delay__slope,-4.536866379299057,4.928685587778251,600,0.01,0.99
bipolar:nod_onset_latency__mean,0.6302256569612563,2.019974705274272,300,0.005,0.995
bipolar:nod_onset_latency__std,0.0,0.34277318331071704,150,0.005,0.995
bipolar:nod_onset_latency__min,0.0,2.01495712,0,0.005,0.995
bipolar:nod_onset_latency__max,0.84313428,2.05985359,101,0.005,0.995
bipolar:nod_onset_latency__range,0.0,1.2040764165500004,150,0.005,0.995
bipolar:nod_onset_latency__slope,-0.0539219367430895,0.18309964404503454,600,0.01,0.99
bipolar:pause_duration_mean__mean,0.5875892586066017,3.862902522757407,300,0.005,0.995
bipolar:pause_duration_mean__std,0.0,0.3565500613552489,150,0.005,0.995
bipolar:pause_duration_mean__min,0.1097141548322762,3.83080683,150,0.005,0.995
bipolar:pause_duration_mean__max,0.73256654,4.12752796,0,0.005,0.995
bipolar:pause_duration_mean__range,0.0,1.2788934799999998,131,0.005,0.995
bipolar:pause_duration_mean__slope,-0.14421257373004645,0.2912317627702104,600,0.01,0.99
bipolar:extended_silence_ratio__mean,0.0,0.29481541355693336,150,0.005,0.995
bipolar:extended_silence_ratio__std,0.0,0.045930765439230484,150,0.005,0.995
bipolar:extended_silence_ratio__min,0.0,0.29166667,0,0.005,0.995
bipolar:extended_silence_ratio__max,0.0,0.31753846,0,0.005,0.995
bipolar:extended_silence_ratio__range,0.0,0.17647059,116,0.005,0.995
bipolar:extended_silence_ratio__slope,-0.013391033622214747,0.03269815196121202,600,0.01,0.99
bipolar:reaction_time_instability_index__mean,0.4506397858139695,5.7586260486114424,300,0.005,0.995
bipolar:reaction_time_instability_index__std,0.0,0.7299795098826113,150,0.005,0.995
bipolar:reaction_time_instability_index__min,0.0,5.75292803,0,0.005,0.995
bipolar:reaction_time_instability_index__max,0.64623593,5.84881759,0,0.005,0.995
bipolar:reaction_time_instability_index__range,0.0,2.0998313700000004,126,0.005,0.995
bipolar:reaction_time_instability_index__slope,-0.10140902890774016,0.516933006703373,600,0.01,0.99
depression:au12_mean_amplitude__mean,0.02505546833833458,0.0789527179425053,300,0.005,0.995
depression:au12_mean_amplitude__std,0.000370906599886948,0.019506841819470936,300,0.005,0.995
depression:au12_mean_amplitude__min,0.02062035,0.0751723,139,0.005,0.995
depression:au12_mean_amplitude__max,0.027191610247708265,0.08540358,150,0.005,0.995
depression:au12_mean_amplitude__range,0.0,0.03863361069999992,150,0.005,0.995
depression:au12_mean_amplitude__slope,-0.010562749965939776,0.009818133496428471,600,0.01,0.99
depression:au12_variance__mean,2.9585809507968032e-05,0.015438969020295736,300,0.005,0.995
depression:au12_variance__std,8.445391749024374e-07,0.006174136205665292,300,0.005,0.995
depression:au12_variance__min,9.99696629097774e-06,0.010035480785754768,300,0.005,0.995
depression:au12_variance__max,3.719e-05,0.01989524,141,0.005,0.995
depression:au12_variance__range,0.0,0.01759207482343256,150,0.005,0.995
depression:au12_variance__slope,-0.002296676440005004,0.002787837311370714,600,0.01,0.99
depression:au12_activation_frequency__mean,0.0,1.1241400962173969,150,0.005,0.995
depression:au12_activation_frequency__std,0.0,0.08058327890754952,150,0.005,0.995
depression:au12_activation_frequency__min,0.0,1.0945385399958774,150,0.005,0.995
depression:au12_activation_frequency__max,0.0,1.13333333,0,0.005,0.995
depression:au12_activation_frequency__range,0.0,0.35,138,0.005,0.995
depression:au12_activation_frequency__slope,-0.04189920348598473,0.04040118123438837,600,0.01,0.99
depression:au15_mean_amplitude__mean,0.006169103667869716,0.020734293171763004,300,0.005,0.995
depression:au15_mean_amplitude__std,0.00023581090939768948,0.005994422118479784,300,0.005,0.995
depression:au15_mean_amplitude__min,0.00424533,0.018899109959371965,150,0.005,0.995
depression:au15_mean_amplitude__max,0.006809599561037911,0.02776053,150,0.005,0.995
depression:au15_mean_amplitude__range,0.0,0.015511484166762748,150,0.005,0.995
depression:au15_mean_amplitude__slope,-0.0027539670586685192,0.0024382087507656604,600,0.01,0.99
depression:au4_mean_activation__mean,0.9341756007211637,0.9811172209281241,300,0.005,0.995
depression:au4_mean_activation__std,0.001683399934267573,0.020420364742996196,300,0.005,0.995
depression:au4_mean_activation__min,0.90458413,0.96962324,232,0.005,0.995
depression:au4_mean_activation__max,0.9468797058897357,0.9962352909601797,300,0.005,0.995
depression:au4_mean_activation__range,0.0,0.0766659453670357,150,0.005,0.995
depression:au4_mean_activation__slope,-0.013249349818259933,0.014993177215985115,600,0.01,0.99
depression:au4_duration_ratio__mean,0.9416706182169078,0.9766084298478823,300,0.005,0.995
depression:au4_duration_ratio__std,0.0001267884374504115,0.00508866120473883,300,0.005,0.995
depression:au4_duration_ratio__min,0.94039699,0.9750225087119394,218,0.005,0.995
depression:au4_duration_ratio__max,0.9428299772469204,0.9790969,187,0.005,0.995
depression:au4_duration_ratio__range,0.0,0.02295975748371708,150,0.005,0.995
depression:au4_duration_ratio__slope,-0.002685774694793916,0.002495533885802815,600,0.01,0.99
depression:au1_au2_peak_intensity__mean,0.017052924009299333,0.04799078170172589,300,0.005,0.995
depression:au1_au2_peak_intensity__std,0.00018295351366860602,0.013047559739055832,300,0.005,0.995
depression:au1_au2_peak_intensity__min,0.01577025,0.0457587,99,0.005,0.995
depression:au1_au2_peak_intensity__max,0.01783217,0.05322172,128,0.005,0.995
depression:au1_au2_peak_intensity__range,0.0,0.022010592974165664,150,0.005,0.995
depression:au1_au2_peak_intensity__slope,-0.005139913783714277,0.005095225364731048,600,0.01,0.99
depression:lip_compression_frequency__mean,0.0,1.3140144644527048,150,0.005,0.995
depression:lip_compression_frequency__std,0.0,0.08872077868962605,150,0.005,0.995
depression:lip_compression_frequency__min,0.0,1.2656870781188991,150,0.005,0.995
depression:lip_compression_frequency__max,0.0,1.33333333,0,0.005,0.995
depression:lip_compression_frequency__range,0.0,0.23333333,147,0.005,0.995
depression:lip_compression_frequency__slope,-0.05287225007024576,0.05629785300227659,600,0.01,0.99
depression:overall_au_variance__mean,0.000688267457733589,0.011122742356615915,300,0.005,0.995
depression:overall_au_variance__std,2.2785353849371448e-05,0.0029808920699064883,300,0.005,0.995
depression:overall_au_variance__min,0.00047615,0.009956957080963422,150,0.005,0.995
depression:overall_au_variance__max,0.0012910077183015856,0.01218298,233,0.005,0.995
depression:overall_au_variance__range,0.0,0.010647346401935787,150,0.005,0.995
depression:overall_au_variance__slope,-0.0012406176158619399,0.0014790571640707398,600,0.01,0.99
depression:facial_emotional_range__mean,0.0028495156283869726,0.03391382938841012,300,0.005,0.995
depression:facial_emotional_range__std,0.0,0.011305378939761851,150,0.005,0.995
depression:facial_emotional_range__min,0.00171139,0.03364346303178328,150,0.005,0.995
depression:facial_emotional_range__max,0.00329096,0.03425897,123,0.005,0.995
depression:facial_emotional_range__range,0.0,0.023049281944464976,150,0.005,0.995
depression:facial_emotional_range__slope,-0.005265001564227037,0.004827296698285332,600,0.01,0.99
depression:facial_transition_frequency__mean,0.0,0.6102536447587461,150,0.005,0.995
depression:facial_transition_frequency__std,0.0,0.12172717384260866,150,0.005,0.995
depression:facial_transition_frequency__min,0.0,0.6,0,0.005,0.995
depression:facial_transition_frequency__max,0.0,0.7,0,0.005,0.995
depression:facial_transition_frequency__range,0.0,0.4,64,0.005,0.995
depression:facial_transition_frequency__slope,-0.08370846309488333,0.0762023842432906,600,0.01,0.99
depression:near_zero_au_activation_ratio__mean,0.9338232468107858,1.0,150,0.005,0.995
depression:near_zero_au_activation_ratio__std,0.0,0.01747758115785964,150,0.005,0.995
depression:near_zero_au_activation_ratio__min,0.92976589,1.0,143,0.005,0.995
depression:near_zero_au_activation_ratio__max,0.94314381,1.0,112,0.005,0.995
depression:near_zero_au_activation_ratio__range,0.0,0.05685619,132,0.005,0.995
depression:near_zero_au_activation_ratio__slope,-0.008119537625698545,0.010544897651492944,600,0.01,0.99
depression:mean_head_velocity__mean,0.0187734543008952,0.1461533584856706,300,0.005,0.995
depression:mean_head_velocity__std,0.000324777495755443,0.02336397748524284,300,0.005,0.995
depression:mean_head_velocity__min,0.01725983,0.12249402,105,0.005,0.995
depression:mean_head_velocity__max,0.02336264584178279,0.19963863195764323,300,0.005,0.995
depression:mean_head_velocity__range,0.0,0.07833575,128,0.005,0.995
depression:mean_head_velocity__slope,-0.017305361910179982,0.01620291209046863,600,0.01,0.99
depression:head_velocity_peak__mean,0.13745186226785577,10.50486812486399,300,0.005,0.995
depression:head_velocity_peak__std,0.0,4.898671860165251,150,0.005,0.995
depression:head_velocity_peak__min,0.08198414,10.48889604,128,0.005,0.995
depression:head_velocity_peak__max,0.16267273,10.51447764,140,0.005,0.995
depression:head_velocity_peak__range,0.0,9.792362849400002,150,0.005,0.995
depression:head_velocity_peak__slope,-3.485149539085855,3.5776584843029102,600,0.01,0.99
depression:head_motion_energy__mean,0.014384797994300156,17.06880705324532,300,0.005,0.995
depression:head_motion_energy__std,0.00028536406361814355,5.237278074700467,300,0.005,0.995
depression:head_motion_energy__min,0.007287709847578698,15.534805150132565,300,0.005,0.995
depression:head_motion_energy__max,0.017454170113417822,25.071677133574703,300,0.005,0.995
depression:head_motion_energy__range,0.0,15.744087322780928,150,0.005,0.995
depression:head_motion_energy__slope,-3.502853085703903,3.6891257904884234,600,0.01,0.99
depression:motion_energy_floor_score__mean,0.6551745226654314,0.9999743094324804,300,0.005,0.995
depression:motion_energy_floor_score__std,0.0,0.07437183027496784,150,0.005,0.995
depression:motion_energy_floor_score__min,0.6,0.996735732626026,161,0.005,0.995
depression:motion_energy_floor_score__max,0.70281864,1.0,149,0.005,0.995
depression:motion_energy_floor_score__range,0.0,0.24324823616779107,150,0.005,0.995
depression:motion_energy_floor_score__slope,-0.04026856242877551,0.04709772693376864,600,0.01,0.99
depression:landmark_displacement_mean__mean,0.0005047966287072625,0.010753522123600413,300,0.005,0.995
depression:landmark_displacement_mean__std,0.0001547528361564225,0.02933827887188528,300,0.005,0.995
depression:landmark_displacement_mean__min,0.00012007,0.0016498104547621264,274,0.005,0.995
depression:landmark_displacement_mean__max,0.00085297,0.11878862,148,0.005,0.995
depression:landmark_displacement_mean__range,0.000130463147919271,0.11799998752407176,300,0.005,0.995
depression:landmark_displacement_mean__slope,-0.007642905811058615,0.007569664271398909,600,0.01,0.99
depression:gesture_frequency__mean,0.580726662475465,0.9945915275232117,300,0.005,0.995
depression:gesture_frequency__std,0.013388452650961008,0.16729499807729678,300,0.005,0.995
depression:gesture_frequency__min,0.3110436049295908,0.96,161,0.005,0.995
depression:gesture_frequency__max,0.8108683062137074,1.0,150,0.005,0.995
depression:gesture_frequency__range,0.0,0.5806476604556448,150,0.005,0.995
depression:gesture_frequency__slope,-0.01714117947962333,0.09728241816487099,600,0.01,0.99
depression:posture_rigidity_index__mean,0.7200642235388766,0.9995191761972441,300,0.005,0.995
depression:posture_rigidity_index__std,7.050766719858079e-06,0.13065576867466178,300,0.005,0.995
depression:posture_rigidity_index__min,0.60929365,0.9993552747662814,150,0.005,0.995
depression:posture_rigidity_index__max,0.7330067843359581,0.99985032,150,0.005,0.995
depression:posture_rigidity_index__range,0.0,0.2692301,149,0.005,0.995
depression:posture_rigidity_index__slope,-0.08747752117594489,0.0836894316972461,600,0.01,0.99
depression:micro_motion_energy__mean,0.002571210711890679,45.17783839280956,300,0.005,0.995
depression:micro_motion_energy__std,0.00168240092541942,146.12329355733684,300,0.005,0.995
depression:micro_motion_energy__min,8.658e-05,0.02326020241935012,150,0.005,0.995
depression:micro_motion_energy__max,0.007262167179004938,645.603596,150,0.005,0.995
depression:micro_motion_energy__range,0.0025077333013743502,645.601617389908,300,0.005,0.995
depression:micro_motion_energy__slope,-29.91909484629348,30.26440553592722,600,0.01,0.99
depression:blink_rate__mean,3.392341692097597,36.40130907236434,300,0.005,0.995
depression:blink_rate__std,0.0,2.4352754133124512,150,0.005,0.995
depression:blink_rate__min,2.0,35.46100512746694,233,0.005,0.995
depression:blink_rate__max,4.0,37.6,44,0.005,0.995
depression:blink_rate__range,0.0,8.0,136,0.005,0.995
depression:blink_rate__slope,-1.2235485778817685,1.4409760503798363,600,0.01,0.99
depression:blink_duration__mean,0.19241049384464962,0.5544435199999999,263,0.005,0.995
depression:blink_duration__std,0.0,0.046465172004903334,150,0.005,0.995
depression:blink_duration__min,0.18115481,0.55444352,93,0.005,0.995
depression:blink_duration__max,0.1998381,0.55444352,39,0.005,0.995
depression:blink_duration__range,0.0,0.10873843,142,0.005,0.995
depression:blink_duration__slope,-0.015586997130197683,0.024369407511026932,600,0.01,0.99
depression:blink_cluster_density__mean,0.00043571047815535376,0.42590949955427426,300,0.005,0.995
depression:blink_cluster_density__std,0.0,0.03980245705021694,150,0.005,0.995
depression:blink_cluster_density__min,0.0,0.41666667,8,0.005,0.995
depression:blink_cluster_density__max,0.01666667,0.44,139,0.005,0.995
depression:blink_cluster_density__range,0.0,0.1166666699999999,96,0.005,0.995
depression:blink_cluster_density__slope,-0.019563720522944365,0.020309114771861706,600,0.01,0.99
depression:eye_contact_ratio__mean,0.686395763780237,0.9251427140768325,300,0.005,0.995
depression:eye_contact_ratio__std,0.000888341041781061,0.04479193072720361,300,0.005,0.995
depression:eye_contact_ratio__min,0.66539625,0.9138229434168472,150,0.005,0.995
depression:eye_contact_ratio__max,0.69980906,0.93160261,91,0.005,0.995
depression:eye_contact_ratio__range,0.0,0.13397427841899864,150,0.005,0.995
depression:eye_contact_ratio__slope,-0.032752356058606484,0.02679711728774234,600,0.01,0.99
depression:downward_gaze_frequency__mean,0.10757830503841065,2.541282384365731,300,0.005,0.995
depression:downward_gaze_frequency__std,0.0016113551873024356,0.09482690260021057,300,0.005,0.995
depression:downward_gaze_frequency__min,0.08333333,2.5,224,0.005,0.995
depression:downward_gaze_frequency__max,0.11666667,2.6,47,0.005,0.995
depression:downward_gaze_frequency__range,0.0,0.3366666600499999,150,0.005,0.995
depression:downward_gaze_frequency__slope,-0.05655917478132408,0.06497829399996669,600,0.01,0.99
depression:gaze_shift_frequency__mean,0.683233329735668,2.8885005850088934,300,0.005,0.995
depression:gaze_shift_frequency__std,0.01425669517319079,0.4958564220996415,300,0.005,0.995
depression:gaze_shift_frequency__min,0.4,2.8,222,0.005,0.995
depression:gaze_shift_frequency__max,0.96,3.0,142,0.005,0.995
depression:gaze_shift_frequency__range,0.0,1.2999999999999998,141,0.005,0.995
depression:gaze_shift_frequency__slope,-0.2030781249501838,0.27542605967564604,600,0.01,0.99
depression:baseline_eye_openness__mean,0.20701674746154466,0.4910895107836339,300,0.005,0.995
depression:baseline_eye_openness__std,0.01052681851112998,0.12187763048077571,300,0.005,0.995
depression:baseline_eye_openness__min,0.13804584,0.42188815,143,0.005,0.995
depression:baseline_eye_openness__max,0.2594561211741023,0.59466698,150,0.005,0.995
depression:baseline_eye_openness__range,0.013973470266399715,0.37093945255000005,300,0.005,0.995
depression:baseline_eye_openness__slope,-0.10438215383641317,0.12091450267776342,600,0.01,0.99
depression:response_latency_mean__mean,0.0,151.56938028000005,32,0.005,0.995
depression:response_latency_mean__std,0.0,60.70143722100202,150,0.005,0.995
depression:response_latency_mean__min,0.0,151.56938028,0,0.005,0.995
depression:response_latency_mean__max,0.0,151.56938028,0,0.005,0.995
depression:response_latency_mean__range,0.0,151.56938028,0,0.005,0.995
depression:response_latency_mean__slope,-1.0886030598482014e-20,1.8762348694455776e-20,600,0.01,0.99
depression:speech_onset_delay__mean,0.0,151.56938028000005,35,0.005,0.995
depression:speech_onset_delay__std,0.0,60.35177952468688,150,0.005,0.995
depression:speech_onset_delay__min,0.0,151.56938028,0,0.005,0.995
depression:speech_onset_delay__max,0.0,151.56938028,0,0.005,0.995
depression:speech_onset_delay__range,0.0,151.56938028,0,0.005,0.995
depression:speech_onset_delay__slope,-1.0812323126611048e-20,1.9429339075894783e-20,600,0.01,0.99
depression:nod_onset_latency__mean,0.0,2.5614387,0,0.005,0.995
depression:nod_onset_latency__std,0.0,0.5832774657015067,150,0.005,0.995
depression:nod_onset_latency__min,0.0,2.5614387,0,0.005,0.995
depression:nod_onset_latency__max,0.0,2.5614387,0,0.005,0.995
depression:nod_onset_latency__range,0.0,2.49151301,0,0.005,0.995
depression:nod_onset_latency__slope,-6.641495462019723e-22,0.3062299277199706,600,0.01,0.99
depression:pause_duration_mean__mean,0.0,151.56938028000005,35,0.005,0.995
depression:pause_duration_mean__std,0.0,59.16553377844716,150,0.005,0.995
depression:pause_duration_mean__min,0.0,151.56938028,0,0.005,0.995
depression:pause_duration_mean__max,0.0,151.56938028,0,0.005,0.995
depression:pause_duration_mean__range,0.0,151.56938028,0,0.005,0.995
depression:pause_duration_mean__slope,-1.0806056475650694e-20,1.949418831460124e-20,600,0.01,0.99
depression:extended_silence_ratio__mean,0.0,1.0,0,0.005,0.995
depression:extended_silence_ratio__std,0.0,0.3914245970571445,150,0.005,0.995
depression:extended_silence_ratio__min,0.0,1.0,0,0.005,0.995
depression:extended_silence_ratio__max,0.0,1.0,0,0.005,0.995
depression:extended_silence_ratio__range,0.0,1.0,0,0.005,0.995
depression:extended_silence_ratio__slope,0.0,0.0,192,0.01,0.99
phobia:au12_mean_amplitude__mean,0.01230779142552677,0.017803329241511536,300,0.005,0.995
phobia:au12_mean_amplitude__std,0.008228961076559833,0.011055682425964126,300,0.005,0.995
phobia:au12_mean_amplitude__min,0.0,0.0002253821804784,0,0.005,0.995
phobia:au12_mean_amplitude__max,0.0302954718835985,0.0472154745946397,84,0.005,0.995
phobia:au12_mean_amplitude__range,0.0302954718835985,0.0472154745946397,85,0.005,0.995
phobia:au12_mean_amplitude__slope,-8.952726749224248e-05,0.00010368086143835199,600,0.01,0.99
phobia:au12_variance__mean,0.000742712593407836,0.001162317847330606,300,0.005,0.995
phobia:au12_variance__std,0.0006785513169077214,0.0009387700253763126,300,0.005,0.995
phobia:au12_variance__max,0.002542973480781417,0.003681525564553,150,0.005,0.995
phobia:au12_variance__range,0.002542973480781417,0.003681525564553,150,0.005,0.995
phobia:au12_variance__slope,-9.380044292876761e-06,9.612886286351025e-06,600,0.01,0.99
phobia:au12_activation_frequency__mean,0.16779632369221914,0.23668371659759677,300,0.005,0.995
phobia:au12_activation_frequency__std,0.09135387491674381,0.13064307907382505,300,0.005,0.995
phobia:au12_activation_frequency__min,0.0,0.0185934239671497,43,0.005,0.995
phobia:au12_activation_frequency__max,0.39367501663557497,0.538944764539123,150,0.005,0.995
phobia:au12_activation_frequency__range,0.3929126902868181,0.538944764539123,118,0.005,0.995
phobia:au12_activation_frequency__slope,-0.001243733342400219,0.001101497540747723,600,0.01,0.99
phobia:au15_mean_amplitude__mean,0.01223240700731233,0.0133724894056147,298,0.005,0.995
phobia:au15_mean_amplitude__std,0.0015997454625701609,0.002262061898160103,300,0.005,0.995
phobia:au15_mean_amplitude__min,0.0073538698823351,0.0093363861860769,125,0.005,0.995
phobia:au15_mean_amplitude__max,0.0160665146556579,0.0187413079990481,74,0.005,0.995
phobia:au15_mean_amplitude__range,0.007393708960999737,0.011387438116713,150,0.005,0.995
phobia:au15_mean_amplitude__slope,-2.1239838122377575e-05,2.1894772628596126e-05,600,0.01,0.99
phobia:au4_duration_ratio__mean,0.9636477250892481,0.9718569273555477,300,0.005,0.995
phobia:au4_duration_ratio__std,0.012015457450446878,0.017758857474802266,300,0.005,0.995
phobia:au4_duration_ratio__min,0.92307589128841,0.9426171626590756,28,0.005,0.995
phobia:au4_duration_ratio__max,0.9893699888042984,1.0,105,0.005,0.995
phobia:au4_duration_ratio__range,0.0537202832368475,0.0769241087115899,134,0.005,0.995
phobia:au4_duration_ratio__slope,-0.000146145060907958,0.00016685284748153896,600,0.01,0.99
phobia:au1_au2_peak_intensity__mean,0.0319004263467063,0.034039017800095925,300,0.005,0.995
phobia:au1_au2_peak_intensity__std,0.0027000309250049827,0.00408769393078884,300,0.005,0.995
phobia:au1_au2_peak_intensity__min,0.0230135092147482,0.0279628063269633,100,0.005,0.995
phobia:au1_au2_peak_intensity__max,0.0381717837334552,0.0428304339035485,133,0.005,0.995
phobia:au1_au2_peak_intensity__range,0.0126816391625529,0.0198169246888003,144,0.005,0.995
phobia:au1_au2_peak_intensity__slope,-4.546748575236087e-05,4.807913679114513e-05,600,0.01,0.99
phobia:au20_activation_rate__mean,0.000266867283753744,0.0005208839951465415,300,0.005,0.995
phobia:au20_activation_rate__std,0.000432715952084835,0.0007001665206933846,300,0.005,0.995
phobia:au20_activation_rate__max,0.0015309699402398,0.0030896840326857,147,0.005,0.995
phobia:au20_activation_rate__range,0.0015309699402398,0.0030896840326857,147,0.005,0.995
phobia:au20_activation_rate__slope,-5.67076178303122e-06,4.62627371930532e-06,600,0.01,0.99
phobia:lip_compression_frequency__mean,0.07004396233010031,0.09238058813631873,300,0.005,0.995
phobia:lip_compression_frequency__std,0.04005368719943176,0.05981968484607741,300,0.005,0.995
phobia:lip_compression_frequency__min,0.0,0.001195351257001,68,0.005,0.995
phobia:lip_compression_frequency__max,0.1694901038201621,0.2335334928947618,59,0.005,0.995
phobia:lip_compression_frequency__range,0.1694901038201621,0.2335334928947618,67,0.005,0.995
phobia:lip_compression_frequency__slope,-0.00046402496811777697,0.0004914202642685161,600,0.01,0.99
phobia:overall_au_variance__mean,0.18723943130452853,0.2823657180153172,300,0.005,0.995
phobia:overall_au_variance__std,0.2834170801783443,0.3543944007392366,300,0.005,0.995
phobia:overall_au_variance__max,1.0,1.0,42,0.005,0.995
phobia:overall_au_variance__range,1.0,1.0,42,0.005,0.995
phobia:overall_au_variance__slope,-0.0029601809530383043,0.0031500066860332236,600,0.01,0.99
phobia:facial_emotional_range__mean,0.013035752101600843,0.015072050820764026,300,0.005,0.995
phobia:facial_emotional_range__std,0.003266265529094629,0.00426281373274653,300,0.005,0.995
phobia:facial_emotional_range__min,0.0027109911924701,0.0082306132554578,101,0.005,0.995
phobia:facial_emotional_range__max,0.0203454572261584,0.0252947545397953,141,0.005,0.995
phobia:facial_emotional_range__range,0.013831763330808,0.0225837633473252,145,0.005,0.995
phobia:facial_emotional_range__slope,-4.163458939949004e-05,3.2495622263985375e-05,600,0.01,0.99
phobia:facial_transition_frequency__mean,0.3219121491571011,0.39247685319795644,300,0.005,0.995
phobia:facial_transition_frequency__std,0.13683485393189984,0.19278182965558427,300,0.005,0.995
phobia:facial_transition_frequency__min,0.0,0.067878861579481,10,0.005,0.995
phobia:facial_transition_frequency__max,0.6069678030138308,0.7823087794376865,42,0.005,0.995
phobia:facial_transition_frequency__range,0.6069678030138308,0.7823087794376865,121,0.005,0.995
phobia:facial_transition_frequency__slope,-0.001744893339363171,0.0013845246870322386,600,0.01,0.99
phobia:near_zero_au_activation_ratio__mean,0.9572866396075939,0.9684247070820501,300,0.005,0.995
phobia:near_zero_au_activation_ratio__std,0.026909181750964174,0.03385848133236775,300,0.005,0.995
phobia:near_zero_au_activation_ratio__min,0.8600929077951391,0.9096662712334644,35,0.005,0.995
phobia:near_zero_au_activation_ratio__range,0.0903337287665355,0.1399070922048608,35,0.005,0.995
phobia:near_zero_au_activation_ratio__slope,-0.000228274671746923,0.000326660868957828,600,0.01,0.99
phobia:mean_head_velocity__mean,0.1265491654213459,0.1547590643745128,300,0.005,0.995
phobia:mean_head_velocity__std,0.04527962253673988,0.059057757985504805,300,0.005,0.995
phobia:mean_head_velocity__min,0.0,0.05944529402335783,150,0.005,0.995
phobia:mean_head_velocity__max,0.2251800447976389,0.2871904888965955,145,0.005,0.995
phobia:mean_head_velocity__range,0.1997624326041948,0.2871904888965955,125,0.005,0.995
phobia:mean_head_velocity__slope,-0.000644626185109094,0.0005148504905908947,600,0.01,0.99
phobia:head_velocity_peak__mean,3.316207695840093,4.1070781406745995,300,0.005,0.995
phobia:head_velocity_peak__std,1.56790623428693,2.0921661738137662,300,0.005,0.995
phobia:head_velocity_peak__min,0.0,0.7926227251482767,137,0.005,0.995
phobia:head_velocity_peak__max,6.979817762441215,8.938536710324188,150,0.005,0.995
phobia:head_velocity_peak__range,6.59254004395752,8.938536710324188,123,0.005,0.995
phobia:head_velocity_peak__slope,-0.022036002105351365,0.0179207797411914,600,0.01,0.99
phobia:head_motion_energy__mean,4.189910049990497,6.1423057305081965,300,0.005,0.995
phobia:head_motion_energy__std,4.4653663594322275,5.792891406566453,300,0.005,0.995
phobia:head_motion_energy__max,15.654238445938883,22.172207067569968,131,0.005,0.995
phobia:head_motion_energy__range,15.654238445938883,22.172207067569968,131,0.005,0.995
phobia:head_motion_energy__slope,-0.04815573274399502,0.05073433431725243,600,0.01,0.99
phobia:motion_energy_floor_score__mean,0.6324302613767472,0.6830913155217052,300,0.005,0.995
phobia:motion_energy_floor_score__std,0.1319666335817482,0.18352102364613504,300,0.005,0.995
phobia:motion_energy_floor_score__min,0.094765816842812,0.39566659821881983,150,0.005,0.995
phobia:motion_energy_floor_score__max,0.933854700585949,1.0,50,0.005,0.995
phobia:motion_energy_floor_score__range,0.5898678847869757,0.905234183157188,149,0.005,0.995
phobia:motion_energy_floor_score__slope,-0.001343170994107706,0.001332222558224024,600,0.01,0.99
