group_feature,lower,upper,rows_clipped,low_q,high_q
anxiety:mean_head_velocity__min,0.03625854,0.25464628,149,0.005,0.995
anxiety:mean_head_velocity__max,0.04701370414801204,0.29551343,150,0.005,0.995
anxiety:mean_head_velocity__range,0.0,0.0883255799999999,149,0.005,0.995
anxiety:mean_head_velocity__slope,-0.018676833341145154,0.016525452999916618,600,0.01,0.99
anxiety:head_velocity_peak__mean,0.2492557299999999,6.50932958,111,0.005,0.995
anxiety:head_velocity_peak__std,0.0,2.546234955842463,150,0.005,0.995
anxiety:head_velocity_peak__min,0.17823865,6.50932958,0,0.005,0.995
anxiety:head_velocity_peak__max,0.28858204,6.50932958,141,0.005,0.995
anxiety:head_velocity_peak__range,0.0,5.2372861,148,0.005,0.995
anxiety:head_velocity_peak__slope,-1.652184238815412,1.5169028688720463,600,0.01,0.99
anxiety:head_motion_energy__mean,0.08144553192760254,13.812461382067658,300,0.005,0.995
anxiety:head_motion_energy__std,0.0013687446497709496,3.9636687456060704,300,0.005,0.995
anxiety:head_motion_energy__min,0.060246,11.13351690467995,150,0.005,0.995
anxiety:head_motion_energy__max,0.09638860348450912,17.31409905204643,300,0.005,0.995
anxiety:head_motion_energy__range,0.0,13.073685824769894,150,0.005,0.995
anxiety:head_motion_energy__slope,-2.347404122919963,2.0621222699127366,600,0.01,0.99
anxiety:motion_energy_floor_score__mean,0.3298048713915042,0.9397873476880545,300,0.005,0.995
anxiety:motion_energy_floor_score__std,0.0013260612139042488,0.11875125768584437,300,0.005,0.995
anxiety:motion_energy_floor_score__min,0.2378807485019936,0.92,234,0.005,0.995
anxiety:motion_energy_floor_score__max,0.385810935854919,0.98,150,0.005,0.995
anxiety:motion_energy_floor_score__range,0.0,0.3013376587121688,150,0.005,0.995
anxiety:motion_energy_floor_score__slope,-0.05604850377949725,0.06336031931372704,600,0.01,0.99
anxiety:landmark_displacement_mean__mean,0.0012199103189242176,0.012991392056571554,300,0.005,0.995
anxiety:landmark_displacement_mean__std,0.000416653716782176,0.02140369029223736,300,0.005,0.995
anxiety:landmark_displacement_mean__min,0.00010784,0.0033674,116,0.005,0.995
anxiety:landmark_displacement_mean__max,0.002379008456105556,0.09953584,150,0.005,0.995
anxiety:landmark_displacement_mean__range,0.0007294011689149655,0.09882473892411378,300,0.005,0.995
anxiety:landmark_displacement_mean__slope,-0.008059280121953751,0.008208538006097289,600,0.01,0.99
anxiety:gesture_frequency__mean,0.6552087653505444,0.9918164436099504,300,0.005,0.995
anxiety:gesture_frequency__std,0.01807931578980939,0.10871538321775391,300,0.005,0.995
anxiety:gesture_frequency__min,0.4,0.94,148,0.005,0.995
anxiety:gesture_frequency__max,0.9,1.0,89,0.005,0.995
anxiety:gesture_frequency__range,0.0,0.49217017894359205,150,0.005,0.995
anxiety:gesture_frequency__slope,-0.016491623339235616,0.04823588974881564,600,0.01,0.99
anxiety:posture_rigidity_index__mean,0.7819365287166424,0.9983323285503456,300,0.005,0.995
anxiety:posture_rigidity_index__std,2.4221204207000096e-05,0.05985169157427259,300,0.005,0.995
anxiety:posture_rigidity_index__min,0.77030986,0.9982683154091355,150,0.005,0.995
anxiety:posture_rigidity_index__max,0.8074300384041975,0.99921978,150,0.005,0.995
anxiety:posture_rigidity_index__range,0.0,0.1519007445500002,150,0.005,0.995
anxiety:posture_rigidity_index__slope,-0.03724711898446855,0.03971610241332057,600,0.01,0.99
anxiety:micro_motion_energy__mean,0.019349758719596648,26.141093696052003,300,0.005,0.995
anxiety:micro_motion_energy__std,0.011505977045036999,80.42713476299213,300,0.005,0.995
anxiety:micro_motion_energy__min,0.0001102,0.10720754001721941,150,0.005,0.995
anxiety:micro_motion_energy__max,0.05122467,347.67349487,147,0.005,0.995
anxiety:micro_motion_energy__range,0.030533193533471552,347.66678081285,300,0.005,0.995
anxiety:micro_motion_energy__slope,-27.80180885774403,21.934301848340883,600,0.01,0.99
anxiety:blink_rate__mean,2.0,27.366666666666667,269,0.005,0.995
anxiety:blink_rate__std,0.0,2.130430613206107,150,0.005,0.995
