column,outlier_count,outlier_ratio,median,mad
pause_duration_mean__max,89998,0.49998888888888887,1.0,0.0018007055762326862
au20_activation_rate__slope,89993,0.49996111111111113,0.0,1.152778997031987e-11
pause_duration_mean__range,89984,0.4999111111111111,1.0,0.0002860599999999769
blink_rate__max,89632,0.49795555555555554,1.0260264925772526,0.3778489745833233
blink_rate__mean,88676,0.49264444444444444,1.0,0.4220138356723614
gaze_shift_frequency__slope,88451,0.49139444444444447,0.0,0.0003209163016867
micro_motion_energy__min,87936,0.4885333333333333,4.329e-05,4.329e-05
au12_variance__min,87744,0.48746666666666666,4.94e-06,4.94e-06
gaze_shift_frequency__mean,87383,0.4854611111111111,1.0,0.007629604653590194
head_motion_energy__min,84480,0.4693333333333333,0.003637925,0.003637925
au4_mean_activation__max,84193,0.46773888888888887,0.9996910999999999,0.00030890000000005635
reaction_time_instability_index__range,83306,0.4628111111111111,0.0026524575689526,0.0026524575689526
blink_rate__min,83173,0.4620722222222222,1.0,1.0
blink_rate__slope,79317,0.44065,0.0,0.00021938513305125
overall_au_variance__min,78577,0.43653888888888887,0.000238075,0.000238075
baseline_eye_openness__slope,78462,0.4359,1.4148260094668121e-05,0.0007177247675135
reaction_time_instability_index__slope,78425,0.43569444444444444,0.0,1.002449328589396e-06
reaction_time_instability_index__std,78239,0.4346611111111111,0.00063261390016285,0.00063261390016285
landmark_displacement_mean__min,78124,0.4340222222222222,5.392e-05,5.392e-05
blink_cluster_density__min,76598,0.42554444444444445,0.0092540321322251,0.0092540321322251
facial_transition_frequency__slope,72973,0.4054055555555556,-8.703149951655301e-24,0.0005111510014271
au12_mean_amplitude__slope,71641,0.39800555555555556,-7.737356003817155e-07,4.946002439809124e-05
downward_gaze_frequency__mean,70670,0.39261111111111113,0.9596699938034693,0.057083408219973486
motion_energy_floor_score__max,68686,0.38158888888888887,0.99333333,0.006666669999999986
near_zero_au_activation_ratio__slope,68093,0.37829444444444443,2.9863839499782936e-24,7.947984230297303e-05
downward_gaze_frequency__slope,67985,0.37769444444444444,2.0287933720431876e-05,0.00048810032114585003
eye_contact_ratio__slope,67020,0.37233333333333335,-9.091859975797852e-06,0.00038595665812355214
facial_emotional_range__slope,66553,0.3697388888888889,0.0,1.047166970472639e-05
motion_energy_floor_score__slope,63884,0.3549111111111111,1.2669051846529323e-05,0.0006779907242394499
landmark_displacement_mean__slope,63161,0.35089444444444445,2.0209687797650776e-06,4.1007107016292525e-05
au1_au2_peak_intensity__slope,61318,0.34065555555555554,-1.6628726381030823e-07,5.264004621120978e-05
blink_cluster_density__slope,60122,0.3340111111111111,0.0,0.00011594112611049999
posture_rigidity_index__mean,60031,0.33350555555555556,0.9830387556766793,0.05888253352087408
eye_contact_ratio__max,60000,0.3333333333333333,0.8499691348123497,0.07364829726074584
eye_contact_ratio__mean,60000,0.3333333333333333,0.8199606836125644,0.05049728727705799
posture_rigidity_index__max,60000,0.3333333333333333,0.99985032,0.058289881145770384
