column,missing_count,missing_ratio,dtype
motion_energy_floor_score__min,0,0.0,float64
motion_energy_floor_score__range,0,0.0,float64
motion_energy_floor_score__slope,0,0.0,float64
motion_energy_floor_score__std,0,0.0,float64
near_zero_au_activation_ratio__max,0,0.0,float64
near_zero_au_activation_ratio__mean,0,0.0,float64
near_zero_au_activation_ratio__min,0,0.0,float64
near_zero_au_activation_ratio__range,0,0.0,float64
near_zero_au_activation_ratio__slope,0,0.0,float64
near_zero_au_activation_ratio__std,0,0.0,float64
nod_onset_latency__max,0,0.0,float64
nod_onset_latency__mean,0,0.0,float64
nod_onset_latency__min,0,0.0,float64
nod_onset_latency__range,0,0.0,float64
nod_onset_latency__slope,0,0.0,float64
nod_onset_latency__std,0,0.0,float64
overall_au_variance__max,0,0.0,float64
overall_au_variance__mean,0,0.0,float64
overall_au_variance__min,0,0.0,float64
overall_au_variance__range,0,0.0,float64
overall_au_variance__slope,0,0.0,float64
overall_au_variance__std,0,0.0,float64
patient_id,0,0.0,int64
pause_duration_mean__max,0,0.0,float64
pause_duration_mean__mean,0,0.0,float64
pause_duration_mean__min,0,0.0,float64
pause_duration_mean__range,0,0.0,float64
pause_duration_mean__slope,0,0.0,float64
pause_duration_mean__std,0,0.0,float64
posture_rigidity_index__max,0,0.0,float64
posture_rigidity_index__mean,0,0.0,float64
posture_rigidity_index__min,0,0.0,float64
posture_rigidity_index__range,0,0.0,float64
posture_rigidity_index__slope,0,0.0,float64
posture_rigidity_index__std,0,0.0,float64
reaction_time_instability_index__max,0,0.0,float64
reaction_time_instability_index__mean,0,0.0,float64
reaction_time_instability_index__min,0,0.0,float64
reaction_time_instability_index__range,0,0.0,float64
reaction_time_instability_index__slope,0,0.0,float64
reaction_time_instability_index__std,0,0.0,float64
response_latency_mean__max,0,0.0,float64
response_latency_mean__mean,0,0.0,float64
response_latency_mean__min,0,0.0,float64
response_latency_mean__range,0,0.0,float64
response_latency_mean__slope,0,0.0,float64
response_latency_mean__std,0,0.0,float64
source_file,0,0.0,str
speech_onset_delay__max,0,0.0,float64
speech_onset_delay__mean,0,0.0,float64
speech_onset_delay__min,0,0.0,float64
speech_onset_delay__range,0,0.0,float64
speech_onset_delay__slope,0,0.0,float64
speech_onset_delay__std,0,0.0,float64
