column,n_unique,dominant_value,dominant_ratio,is_constant,is_near_constant
au20_activation_rate__min,1,0.0,1.0,True,True
reaction_time_instability_index__min,1000,0.0,0.7833111111111111,False,False
extended_silence_ratio__min,773,0.0,0.6951055555555555,False,False
lip_compression_frequency__min,3419,0.0,0.6838277777777778,False,False
pause_duration_mean__min,927,0.0,0.6818166666666666,False,False
speech_onset_delay__min,549,0.0,0.6817277777777778,False,False
extended_silence_ratio__max,1127,1.0,0.6576611111111111,False,False
near_zero_au_activation_ratio__max,2968,1.0,0.5761833333333334,False,False
au12_activation_frequency__min,5315,0.0,0.5729833333333333,False,False
nod_onset_latency__min,2824,0.0,0.56415,False,False
facial_transition_frequency__min,1093,0.0,0.5399388888888889,False,False
response_latency_mean__min,921,0.0,0.5153,False,False
gaze_shift_frequency__max,2540,1.0,0.5065444444444445,False,False
extended_silence_ratio__range,1887,1.0,0.5057944444444444,False,False
downward_gaze_frequency__max,9127,1.0,0.5005444444444445,False,False
au12_variance__min,39105,0.0,0.5,False,False
au4_mean_activation__max,15070,1.0,0.5,False,False
au20_activation_rate__mean,86890,0.0,0.5,False,False
au20_activation_rate__std,86876,0.0,0.5,False,False
au20_activation_rate__max,624,0.0,0.5,False,False
au20_activation_rate__range,624,0.0,0.5,False,False
au20_activation_rate__slope,88091,0.0,0.5,False,False
overall_au_variance__min,38237,0.0,0.5,False,False
head_motion_energy__min,31242,0.0,0.5,False,False
landmark_displacement_mean__min,13468,0.0,0.5,False,False
micro_motion_energy__min,13272,0.0,0.5,False,False
pause_duration_mean__max,1393,1.0,0.5,False,False
pause_duration_mean__range,2354,1.0,0.49996666666666667,False,False
blink_cluster_density__min,2894,0.0,0.4947944444444444,False,False
head_velocity_peak__min,5473,0.0,0.48411666666666664,False,False
motion_energy_floor_score__max,11993,1.0,0.47096666666666664,False,False
gesture_frequency__max,970,1.0,0.45985,False,False
gaze_shift_frequency__range,5124,0.0,0.3744277777777778,False,False
gaze_shift_frequency__min,2935,1.0,0.37091111111111114,False,False
reaction_time_instability_index__range,2612,0.0,0.36972222222222223,False,False
extended_silence_ratio__slope,112813,0.0,0.36220555555555556,False,False
extended_silence_ratio__std,108843,0.0,0.36193888888888887,False,False
response_latency_mean__range,2894,0.0,0.3498611111111111,False,False
gaze_shift_frequency__mean,100176,1.0,0.3496222222222222,False,False
gaze_shift_frequency__slope,116384,0.0,0.3496111111111111,False,False
gaze_shift_frequency__std,101266,0.0,0.3491888888888889,False,False
speech_onset_delay__range,2400,0.0,0.3372777777777778,False,False
blink_rate__max,3715,1.0,0.3333333333333333,False,False
reaction_time_instability_index__max,1571,1.0,0.3333333333333333,False,False
overall_au_variance__max,39554,1.0,0.3331,False,False
overall_au_variance__range,60788,1.0,0.3331,False,False
au12_mean_amplitude__min,15957,0.0,0.33037777777777777,False,False
mean_head_velocity__min,33394,0.0,0.3172888888888889,False,False
reaction_time_instability_index__slope,121003,0.0,0.3168944444444444,False,False
nod_onset_latency__range,6260,0.0,0.3159888888888889,False,False
gesture_frequency__min,1453,0.9,0.3158722222222222,False,False
reaction_time_instability_index__std,97414,0.0,0.31582777777777776,False,False
gesture_frequency__range,3095,0.0999999999999999,0.3079388888888889,False,False
au4_duration_ratio__max,46055,1.0,0.2960888888888889,False,False
reaction_time_instability_index__mean,89669,0.0,0.28054444444444443,False,False
lip_compression_frequency__range,5720,0.0,0.28010555555555555,False,False
speech_onset_delay__slope,131501,0.0,0.2584444444444444,False,False
response_latency_mean__slope,131714,0.0,0.25742777777777776,False,False
pause_duration_mean__slope,131742,0.0,0.25719444444444445,False,False
speech_onset_delay__std,114328,0.0,0.25687777777777776,False,False
response_latency_mean__std,114209,0.0,0.2559722222222222,False,False
pause_duration_mean__std,86162,0.0,0.25595555555555555,False,False
lip_compression_frequency__slope,137151,0.0,0.22712222222222223,False,False
lip_compression_frequency__std,131574,0.0,0.22687222222222223,False,False
downward_gaze_frequency__min,9576,0.0,0.2246,False,False
downward_gaze_frequency__range,15720,1.0,0.2239722222222222,False,False
nod_onset_latency__slope,142303,0.0,0.1988611111111111,False,False
nod_onset_latency__std,121780,0.0,0.1971,False,False
extended_silence_ratio__mean,105361,0.0,0.1869222222222222,False,False
lip_compression_frequency__mean,124383,0.0,0.18622222222222223,False,False
lip_compression_frequency__max,3588,0.0,0.1833611111111111,False,False
response_latency_mean__mean,107060,0.0,0.17928333333333332,False,False
pause_duration_mean__mean,69965,0.0,0.17921666666666666,False,False
au12_activation_frequency__range,9044,0.0,0.17901111111111112,False,False
speech_onset_delay__mean,107056,0.0,0.1787277777777778,False,False
au1_au2_peak_intensity__min,17551,0.0,0.17407777777777778,False,False
response_latency_mean__max,1933,0.0,0.17048888888888888,False,False
au4_mean_activation__range,59856,0.0,0.16991111111111112,False,False
speech_onset_delay__max,1618,0.0,0.16807777777777777,False,False
au15_mean_amplitude__min,15424,0.0,0.16666666666666666,False,False
au4_mean_activation__mean,148490,1.0,0.16666666666666666,False,False
au4_mean_activation__std,148465,0.0,0.16666666666666666,False,False
au4_mean_activation__min,15785,1.0,0.16666666666666666,False,False
au4_mean_activation__slope,148658,0.0,0.16666666666666666,False,False
facial_emotional_range__min,13420,0.0,0.16666666666666666,False,False
blink_duration__range,18798,0.0,0.1661,False,False
blink_rate__range,6877,0.0,0.16226666666666667,False,False
blink_rate__slope,151120,0.0,0.15132222222222222,False,False
blink_rate__std,121848,0.0,0.15097222222222223,False,False
eye_contact_ratio__min,37898,0.0,0.14784444444444444,False,False
blink_cluster_density__range,5582,0.0,0.13837222222222223,False,False
head_velocity_peak__range,16263,0.0,0.12575555555555556,False,False
blink_rate__min,3935,0.0,0.11884444444444445,False,False
au12_activation_frequency__slope,157717,0.0,0.11245555555555556,False,False
au12_activation_frequency__std,151220,0.0,0.11117777777777778,False,False
near_zero_au_activation_ratio__range,7358,0.0,0.10999444444444445,False,False
nod_onset_latency__mean,114868,0.0,0.10829444444444444,False,False
nod_onset_latency__max,2444,0.0,0.10146666666666666,False,False
facial_transition_frequency__range,2756,0.1,0.09082222222222222,False,False
blink_rate__mean,122042,1.0,0.08733888888888888,False,False
facial_emotional_range__range,35649,0.0,0.08631666666666667,False,False
au4_duration_ratio__range,67622,0.0,0.08453333333333334,False,False
facial_transition_frequency__max,1586,0.3,0.08127222222222222,False,False
head_motion_energy__range,60210,0.0,0.07228333333333334,False,False
posture_rigidity_index__range,61312,0.0,0.07102777777777777,False,False
head_velocity_peak__std,156285,0.0,0.06641111111111112,False,False
au12_activation_frequency__mean,141194,0.0,0.06609444444444444,False,False
au12_activation_frequency__max,6079,0.538944764539123,0.06577777777777778,False,False
